"ticker","date","amount"
"BNS.TO","1995-03-29",0.0775
"BNS.TO","1995-06-29",0.0775
"BNS.TO","1995-09-29",0.0775
"BNS.TO","1995-12-28",0.0775
"BNS.TO","1996-03-29",0.0775
"BNS.TO","1996-06-27",0.0850
"BNS.TO","1996-09-27",0.0850
"BNS.TO","1997-01-03",0.0925
"BNS.TO","1997-03-27",0.0925
"BNS.TO","1997-06-27",0.0925
"BNS.TO","1997-10-03",0.0925
"BNS.TO","1998-01-02",0.1000
"BNS.TO","1998-04-03",0.1000
"BNS.TO","1998-07-03",0.1000
"BNS.TO","1998-10-02",0.1000
"BNS.TO","1998-12-31",0.1050
"BNS.TO","1999-04-01",0.1050
"BNS.TO","1999-07-02",0.1050
"BNS.TO","1999-10-01",0.1200
"BNS.TO","1999-12-30",0.1200
"BNS.TO","2000-03-31",0.1200
"BNS.TO","2000-06-29",0.1200
"BNS.TO","2000-09-29",0.1400
"BNS.TO","2000-12-28",0.1400
"BNS.TO","2001-03-30",0.1550
"BNS.TO","2001-06-28",0.1550
"BNS.TO","2001-10-05",0.1700
"BNS.TO","2001-12-28",0.1700
"BNS.TO","2002-03-28",0.1850
"BNS.TO","2002-06-27",0.1850
"BNS.TO","2002-09-27",0.1850
"BNS.TO","2003-01-03",0.2000
"BNS.TO","2003-03-28",0.2000
"BNS.TO","2003-06-27",0.2200
"BNS.TO","2003-10-03",0.2200
"BNS.TO","2004-01-02",0.2500
"BNS.TO","2004-04-02",0.2500
"BNS.TO","2004-07-02",0.3000
"BNS.TO","2004-10-01",0.3000
"BNS.TO","2004-12-30",0.3200
"BNS.TO","2005-04-01",0.3200
"BNS.TO","2005-06-30",0.3400
"BNS.TO","2005-09-30",0.3400
"BNS.TO","2005-12-29",0.3600
"BNS.TO","2006-03-31",0.3600
"BNS.TO","2006-06-29",0.3900
"BNS.TO","2006-09-29",0.3900
"BNS.TO","2006-12-28",0.4200
"BNS.TO","2007-03-30",0.4200
"BNS.TO","2007-06-28",0.4500
"BNS.TO","2007-09-28",0.4500
"BNS.TO","2007-12-28",0.4700
"BNS.TO","2008-03-28",0.4700
"BNS.TO","2008-06-27",0.4900
"BNS.TO","2008-10-03",0.4900
"BNS.TO","2009-01-02",0.4900
